outer_fold,model,trial_number,inner_cv_mean_mae,state,parameters_json
3,ridge,5,567.4498626064977,COMPLETE,"{""alpha"": 0.04023060143775965}"
3,ridge,6,567.3488548513153,COMPLETE,"{""alpha"": 0.1454363822729776}"
3,ridge,7,565.9735938116282,COMPLETE,"{""alpha"": 0.07604814624456031}"
3,ridge,8,648.765158673769,COMPLETE,"{""alpha"": 1.1333162923455522}"
3,ridge,9,566.0563883367483,COMPLETE,"{""alpha"": 0.07113915345444469}"
3,ridge,10,570.5598226489606,COMPLETE,"{""alpha"": 0.012519132007639213}"
3,ridge,11,572.9711139803944,COMPLETE,"{""alpha"": 0.23667549602602175}"
3,ridge,12,570.1187397651447,COMPLETE,"{""alpha"": 0.015399399100813097}"
3,ridge,13,747.0947079320107,COMPLETE,"{""alpha"": 3.146222067358695}"
3,ridge,14,565.9078904851815,COMPLETE,"{""alpha"": 0.08435944526931878}"
3,ridge,15,570.7163052829715,COMPLETE,"{""alpha"": 0.011545778688076581}"
3,ridge,16,587.204330396632,COMPLETE,"{""alpha"": 0.4047917996922308}"
3,ridge,17,733.9711054873786,COMPLETE,"{""alpha"": 2.764021112533541}"
3,ridge,18,567.2412913828334,COMPLETE,"{""alpha"": 0.04317696512101433}"
3,ridge,19,571.9294581563734,COMPLETE,"{""alpha"": 0.004727124189012552}"
3,random_forest,0,1131.9726550591324,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.7100155273996355, ""min_samples_leaf"": 6, ""n_estimators"": 75}"
3,random_forest,1,1248.538022781475,COMPLETE,"{""max_depth"": 19, ""max_features"": 0.5542864465470418, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
3,random_forest,2,1305.9956656364236,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.5372170442715637, ""min_samples_leaf"": 6, ""n_estimators"": 100}"
3,random_forest,3,895.2507019207727,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.9995074397257919, ""min_samples_leaf"": 2, ""n_estimators"": 200}"
3,random_forest,4,929.5698372242317,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.9289275447697978, ""min_samples_leaf"": 2, ""n_estimators"": 250}"
3,random_forest,5,1139.7696844674178,COMPLETE,"{""max_depth"": 7, ""max_features"": 0.6639611558162706, ""min_samples_leaf"": 1, ""n_estimators"": 225}"
3,random_forest,6,1185.7800852976527,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.6290984792644931, ""min_samples_leaf"": 6, ""n_estimators"": 175}"
3,random_forest,7,1021.1225403402443,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.8296763117540229, ""min_samples_leaf"": 5, ""n_estimators"": 225}"
3,random_forest,8,1273.5435960087461,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.590033351551851, ""min_samples_leaf"": 4, ""n_estimators"": 150}"
3,random_forest,9,1094.3281532725637,COMPLETE,"{""max_depth"": 17, ""max_features"": 0.7375842170230085, ""min_samples_leaf"": 3, ""n_estimators"": 200}"
3,random_forest,10,904.4953476781345,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.9570531006991131, ""min_samples_leaf"": 8, ""n_estimators"": 150}"
3,random_forest,11,899.2416137495014,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.9934815503430041, ""min_samples_leaf"": 8, ""n_estimators"": 175}"
3,random_forest,12,904.9137125602695,COMPLETE,"{""max_depth"": 13, ""max_features"": 0.9804621253465581, ""min_samples_leaf"": 1, ""n_estimators"": 175}"
3,random_forest,13,957.2606386469786,COMPLETE,"{""max_depth"": 16, ""max_features"": 0.8831743416010983, ""min_samples_leaf"": 3, ""n_estimators"": 150}"
3,random_forest,14,887.818373208147,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.9984299925006488, ""min_samples_leaf"": 7, ""n_estimators"": 200}"
3,random_forest,15,960.2684861944178,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.8665130189747094, ""min_samples_leaf"": 4, ""n_estimators"": 250}"
3,random_forest,16,1053.3238670910482,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.7978369088915475, ""min_samples_leaf"": 7, ""n_estimators"": 200}"
3,random_forest,17,1081.1625672890389,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.916291484527202, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
3,random_forest,18,895.4358437861404,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.9897493338649397, ""min_samples_leaf"": 2, ""n_estimators"": 225}"
3,random_forest,19,965.3792336910016,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.8967845088395188, ""min_samples_leaf"": 5, ""n_estimators"": 125}"
3,gradient_boosting,0,929.0964358037327,COMPLETE,"{""learning_rate"": 0.10022486206711212, ""max_depth"": 3, ""min_samples_leaf"": 1, ""n_estimators"": 100}"
3,gradient_boosting,1,1279.741966680602,COMPLETE,"{""learning_rate"": 0.027200500930192547, ""max_depth"": 4, ""min_samples_leaf"": 4, ""n_estimators"": 100}"
3,gradient_boosting,2,2471.3931014015648,COMPLETE,"{""learning_rate"": 0.020010673262251626, ""max_depth"": 5, ""min_samples_leaf"": 6, ""n_estimators"": 75}"
3,gradient_boosting,3,3312.1018933190244,COMPLETE,"{""learning_rate"": 0.022252980718303155, ""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 50}"
3,gradient_boosting,4,969.469326154314,COMPLETE,"{""learning_rate"": 0.08266599424575934, ""max_depth"": 3, ""min_samples_leaf"": 6, ""n_estimators"": 225}"
3,gradient_boosting,5,2859.0557800781908,COMPLETE,"{""learning_rate"": 0.02609446511984153, ""max_depth"": 4, ""min_samples_leaf"": 7, ""n_estimators"": 50}"
3,gradient_boosting,6,986.4500182460135,COMPLETE,"{""learning_rate"": 0.1521799617172713, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
3,gradient_boosting,7,1071.1262824405026,COMPLETE,"{""learning_rate"": 0.01632897775137777, ""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 225}"
3,gradient_boosting,8,992.6454041365487,COMPLETE,"{""learning_rate"": 0.018950687891951045, ""max_depth"": 5, ""min_samples_leaf"": 8, ""n_estimators"": 225}"
3,gradient_boosting,9,965.0421000891334,COMPLETE,"{""learning_rate"": 0.0244885993938783, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 225}"
3,gradient_boosting,10,936.9770019754408,COMPLETE,"{""learning_rate"": 0.05658255642581682, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
3,gradient_boosting,11,922.375757830172,COMPLETE,"{""learning_rate"": 0.06438366076293937, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
